t_qh,solar_e_prod_normalized,ambient_temperature_deg_c
1,0,-3.9
2,0,-3.9
3,0,-3.9
4,0,-3.9
5,0,-4.1
6,0,-4.1
7,0,-4.1
8,0,-4.1
9,0,-4.3
10,0,-4.3
11,0,-4.3
12,0,-4.3
13,0,-4.4
14,0,-4.4
15,0,-4.4
16,0,-4.4
17,0,-4.6
18,0,-4.6
19,0,-4.6
20,0,-4.6
21,0,-4.7
22,0,-4.7
23,0,-4.7
24,0,-4.7
25,0,-4.8
26,0,-4.8
27,0,-4.8
28,0,-4.8
29,0,-4.9
30,0,-4.9
31,0,-4.9
32,0,-4.9
33,0.025,-4.9
34,0.025,-4.9
35,0.025,-4.9
36,0.025,-4.9
37,0.047222222,-4.4
38,0.047222222,-4.4
39,0.047222222,-4.4
40,0.047222222,-4.4
41,0.116666667,-3.8
42,0.116666667,-3.8
43,0.116666667,-3.8
44,0.116666667,-3.8
45,0.127777778,-3.2
46,0.127777778,-3.2
47,0.127777778,-3.2
48,0.127777778,-3.2
49,0.133333333,-2.4
50,0.133333333,-2.4
51,0.133333333,-2.4
52,0.133333333,-2.4
53,0.080555556,-1.9
54,0.080555556,-1.9
55,0.080555556,-1.9
56,0.080555556,-1.9
57,0.030555556,-1.9
58,0.030555556,-1.9
59,0.030555556,-1.9
60,0.030555556,-1.9
61,0.002777778,-2.5
62,0.002777778,-2.5
63,0.002777778,-2.5
64,0.002777778,-2.5
65,0,-3
66,0,-3
67,0,-3
68,0,-3
69,0,-3.1
70,0,-3.1
71,0,-3.1
72,0,-3.1
73,0,-3.1
74,0,-3.1
75,0,-3.1
76,0,-3.1
77,0,-3.2
78,0,-3.2
79,0,-3.2
80,0,-3.2
81,0,-3.2
82,0,-3.2
83,0,-3.2
84,0,-3.2
85,0,-3.3
86,0,-3.3
87,0,-3.3
88,0,-3.3
89,0,-3.4
90,0,-3.4
91,0,-3.4
92,0,-3.4
93,0,-3.4
94,0,-3.4
95,0,-3.4
96,0,-3.4
97,0,-3.5
98,0,-3.5
99,0,-3.5
100,0,-3.5
101,0,-3.5
102,0,-3.5
103,0,-3.5
104,0,-3.5
105,0,-3.5
106,0,-3.5
107,0,-3.5
108,0,-3.5
109,0,-3.4
110,0,-3.4
111,0,-3.4
112,0,-3.4
113,0,-3.4
114,0,-3.4
115,0,-3.4
116,0,-3.4
117,0,-3.4
118,0,-3.4
119,0,-3.4
120,0,-3.4
121,0,-3.4
122,0,-3.4
123,0,-3.4
124,0,-3.4
125,0,-3.4
126,0,-3.4
127,0,-3.4
128,0,-3.4
129,0.019444444,-3.4
130,0.019444444,-3.4
131,0.019444444,-3.4
132,0.019444444,-3.4
133,0.077777778,-2.8
134,0.077777778,-2.8
135,0.077777778,-2.8
136,0.077777778,-2.8
137,0.033333333,-1.5
138,0.033333333,-1.5
